state,chamber,name,eid
CT,Senate,Martin M. Looney,13011269
CT,House,Matthew Ritter,6508453
CT,House,Vincent Candelora,6672696
CT,Senate,Bob Duff,6378460
CT,Senate,Stephen Harding,29168403
CT,House,Jason Rojas,6495441
CT,Senate,Catherine Osten,6508501
CT,House,Toni Walker,6415526
CT,Senate,Saud Anwar,14259823
CT,Senate,John Fonfara,6404914
CT,House,Maria Horn,45400009
CT,House,Roland Lemar,6508566
CT,Senate,Heather Somers,15771250
CT,Senate,Eric Berthel,16022115
CT,House,Holly Cheeseman,6691738
CT,House,Catherine Abercrombie,12998301
CT,House,Robyn Porter,23593105
CT,House,Bob Godfrey,6384109
CT,Senate,Mae Flexer,12998216
NY,Senate,Andrea Stewart-Cousins,12456103
NY,Senate,Robert Ortt,26157966
NY,House,Carl Heastie,5623760
NY,House,William Barclay,13009403
NY,House,Crystal Peoples-Stokes,5088504
MA,Senate,Bruce Tarr,39412
MA,House,Ronald Mariano,1505986
NJ,Senate,Nicholas Scutari,6452479
NJ,Senate,Anthony Bucco,6586626
NJ,House,Craig Coughlin,6498711
NJ,House,John DiMaio,6666748
CA,Senate,Mike McGuire,23421088
CA,Senate,Brian Jones,13008835
CA,House,Robert Rivas,44493661
CA,House,James Gallagher,23421142
